agent_id,current_link,current_link_enter_time,current_time,link_geometry,agent_position,duration
1000017,9278,3773.0,4200,"LINESTRING(-122.8537173 38.0977276, -122.8533781 38.0974597)",POINT (-122.8535477 38.09759365),4.0
1000006,31309,3765.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000007,16287,3772.0,4200,"LINESTRING(-122.8758352 38.1112101, -122.875134 38.111247)",POINT (-122.8754846 38.11122855),5.0
1000024,18897,3772.0,4200,"LINESTRING(-122.8691875 38.1052435, -122.8689117 38.1058084)",POINT (-122.8690496 38.10552595),6.0
1000022,29799,3768.0,4200,"LINESTRING(-122.8716304 38.110873, -122.8715931 38.1107333, -122.8703214 38.1104179)",POINT (-122.87102230034 38.11059821605024),11.0
1000008,33994,3764.0,4200,"LINESTRING(-122.8615401 38.1000468, -122.8612973 38.0999405, -122.8610699 38.0996606, -122.8599193 38.0989994)",POINT (-122.8607472754275 38.0995069804047),15.0
1000019,20545,3773.0,4200,"LINESTRING(-122.85204995 38.097194349999995, -122.85161065 38.096499300000005)",POINT (-122.8518303 38.096846825),6.0
1000023,29786,3769.0,4200,"LINESTRING(-122.8541003 38.0985701, -122.853795 38.0982095, -122.85355 38.0981645, -122.8537173 38.0977276)",POINT (-122.8537665193649 38.0981727866862),11.0
1000016,21597,3773.0,4200,"LINESTRING(-122.8548368 38.0981257, -122.8541003 38.0985701)",POINT (-122.85446855 38.0983479),7.0
1000006,9376,3777.0,4200,"LINESTRING(-122.856108 38.0985144, -122.855656 38.0986514)",POINT (-122.855882 38.0985829),4.0
1000017,10119,3777.0,4200,"LINESTRING(-122.8533781 38.0974597, -122.8530228 38.0971759)",POINT (-122.85320045 38.0973178),4.0
1000005,29761,3771.0,4200,"LINESTRING(-122.859316 38.098303, -122.857781 38.098373)",POINT (-122.8585485 38.098338),11.0
1000012,31309,3770.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000004,22190,3776.0,4200,"LINESTRING(-122.8741321 38.1110918, -122.873278 38.110863)",POINT (-122.87370505 38.11097739999999),7.0
1000009,29367,3773.0,4200,"LINESTRING(-122.8703214 38.1104179, -122.8687915 38.110736349999996)",POINT (-122.86955645 38.110577125),10.0
1000001,23498,3775.0,4200,"LINESTRING(-122.8439058 38.0898131, -122.8427006 38.0889414)",POINT (-122.8433032 38.08937725),9.0
1000023,9278,3780.0,4200,"LINESTRING(-122.8537173 38.0977276, -122.8533781 38.0974597)",POINT (-122.8535477 38.09759365),4.0
1000024,20506,3778.0,4200,"LINESTRING(-122.8689117 38.1058084, -122.86869085000001 38.1064959)",POINT (-122.868801275 38.10615215),6.0
1000007,23737,3777.0,4200,"LINESTRING(-122.875134 38.111247, -122.874565 38.111231, -122.8741321 38.1110918)",POINT (-122.8746270322995 38.11120453848974),7.0
1000012,9376,3782.0,4200,"LINESTRING(-122.856108 38.0985144, -122.855656 38.0986514)",POINT (-122.855882 38.0985829),4.0
1000004,8186,3783.0,4200,"LINESTRING(-122.873278 38.110863, -122.8728297 38.1108823)",POINT (-122.87305385 38.11087265),3.0
1000008,24557,3779.0,4200,"LINESTRING(-122.8599193 38.0989994, -122.8598702 38.0989094, -122.859316 38.098303)",POINT (-122.8596265687923 38.09864483362666),8.0
1000017,20673,3781.0,4200,"LINESTRING(-122.8530228 38.0971759, -122.8521974 38.0974296)",POINT (-122.8526101 38.09730275),6.0
1000015,31986,3775.0,4200,"LINESTRING(-122.8687915 38.110736349999996, -122.8682789 38.11069, -122.8678593 38.1107372, -122.8670887 38.1112102)",POINT (-122.8679071425183 38.11084121778072),12.0
1000023,10119,3784.0,4200,"LINESTRING(-122.8533781 38.0974597, -122.8530228 38.0971759)",POINT (-122.85320045 38.0973178),4.0
1000006,24175,3781.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
1000003,36250,3765.0,4200,"LINESTRING(-122.8618114 38.1052691, -122.8616419 38.1051247, -122.8614362 38.1050311, -122.8611963 38.1049523, -122.8609358 38.1049341, -122.8606423 38.1049097, -122.860488 38.1048743, -122.860353 38.1047908, -122.8602148 38.1046315, -122.860102 38.104507, -122.8585064 38.1034983)",POINT (-122.8601314064879 38.1044692980222),24.0
1000022,29367,3779.0,4200,"LINESTRING(-122.8703214 38.1104179, -122.8687915 38.110736349999996)",POINT (-122.86955645 38.110577125),10.0
1000017,3255,3787.0,4200,"LINESTRING(-122.8521974 38.0974296, -122.85204995 38.097194349999995)",POINT (-122.852123675 38.097311975),2.0
1000018,33796,3775.0,4200,"LINESTRING(-122.863601 38.096086, -122.862726 38.096564, -122.862554 38.096722, -122.862154 38.097318)",POINT (-122.8628025285392 38.09661915631265),15.0
1000016,29786,3780.0,4200,"LINESTRING(-122.8541003 38.0985701, -122.853795 38.0982095, -122.85355 38.0981645, -122.8537173 38.0977276)",POINT (-122.8537665193649 38.0981727866862),11.0
1000007,22190,3784.0,4200,"LINESTRING(-122.8741321 38.1110918, -122.873278 38.110863)",POINT (-122.87370505 38.11097739999999),7.0
1000001,22487,3784.0,4200,"LINESTRING(-122.8427006 38.0889414, -122.8424416 38.0887636, -122.8421866 38.088581, -122.8416811 38.088029)",POINT (-122.8421659655283 38.08851367766094),8.0
1000002,39150,3752.0,4200,"LINESTRING(-122.8563104 38.1009793, -122.8560768 38.1009078, -122.8558378 38.1008055, -122.8556415 38.1006992, -122.8554755 38.1005811, -122.8553933 38.1004762, -122.8552289 38.1002403, -122.8551004 38.1000946, -122.854971 38.099953, -122.8546812 38.0997587, -122.854455 38.0996231, -122.8542077 38.0995005, -122.853897 38.0993014, -122.8537067 38.0991415, -122.853559 38.0989859, -122.8528787 38.0982167, -122.8521974 38.0974296)",POINT (-122.8541520655986 38.09934709051976),41.0
1000012,24175,3786.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
1000005,31309,3782.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000015,23105,3787.0,4200,"LINESTRING(-122.8670887 38.1112102, -122.8668876 38.1110562, -122.8668272 38.1108931, -122.8670452 38.1105444)",POINT (-122.8669355479647 38.11089703582064),7.0
